STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,hhcomp,Household composition,rskpovth,Risk of poverty threshold,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:ILC_MDDW02$DEFAULTVIEW(1.0),"Pollution, grime or other environmental problems",A,Annual,A1,One adult,TOTAL,Total,PC,Percentage,AT,Austria,2020,,9.1,,,,,
dataflow,ESTAT:ILC_MDDW02$DEFAULTVIEW(1.0),"Pollution, grime or other environmental problems",A,Annual,A1,One adult,TOTAL,Total,PC,Percentage,AT,Austria,2023,,9.0,,,,,
dataflow,ESTAT:ILC_MDDW02$DEFAULTVIEW(1.0),"Pollution, grime or other environmental problems",A,Annual,A1,One adult,TOTAL,Total,PC,Percentage,BE,Belgium,2012,,15.5,,,,,
dataflow,ESTAT:ILC_MDDW02$DEFAULTVIEW(1.0),"Pollution, grime or other environmental problems",A,Annual,A1,One adult,TOTAL,Total,PC,Percentage,BE,Belgium,2013,,17.8,,,,,
dataflow,ESTAT:ILC_MDDW02$DEFAULTVIEW(1.0),"Pollution, grime or other environmental problems",A,Annual,A1,One adult,TOTAL,Total,PC,Percentage,BE,Belgium,2014,,16.6,,,,,
dataflow,ESTAT:ILC_MDDW02$DEFAULTVIEW(1.0),"Pollution, grime or other environmental problems",A,Annual,A1,One adult,TOTAL,Total,PC,Percentage,BE,Belgium,2015,,14.9,,,,,
dataflow,ESTAT:ILC_MDDW02$DEFAULTVIEW(1.0),"Pollution, grime or other environmental problems",A,Annual,A1,One adult,TOTAL,Total,PC,Percentage,BE,Belgium,2016,,15.4,,,,,
dataflow,ESTAT:ILC_MDDW02$DEFAULTVIEW(1.0),"Pollution, grime or other environmental problems",A,Annual,A1,One adult,TOTAL,Total,PC,Percentage,BE,Belgium,2017,,13.9,,,,,
dataflow,ESTAT:ILC_MDDW02$DEFAULTVIEW(1.0),"Pollution, grime or other environmental problems",A,Annual,A1,One adult,TOTAL,Total,PC,Percentage,BE,Belgium,2018,,16.0,,,,,
dataflow,ESTAT:ILC_MDDW02$DEFAULTVIEW(1.0),"Pollution, grime or other environmental problems",A,Annual,A1,One adult,TOTAL,Total,PC,Percentage,BE,Belgium,2019,,15.2,,b,break in time series,,
dataflow,ESTAT:ILC_MDDW02$DEFAULTVIEW(1.0),"Pollution, grime or other environmental problems",A,Annual,A1,One adult,TOTAL,Total,PC,Percentage,BE,Belgium,2020,,12.8,,,,,
dataflow,ESTAT:ILC_MDDW02$DEFAULTVIEW(1.0),"Pollution, grime or other environmental problems",A,Annual,A1,One adult,TOTAL,Total,PC,Percentage,BE,Belgium,2023,,15.3,,,,,
dataflow,ESTAT:ILC_MDDW02$DEFAULTVIEW(1.0),"Pollution, grime or other environmental problems",A,Annual,A1,One adult,TOTAL,Total,PC,Percentage,BG,Bulgaria,2012,,10.9,,,,,
dataflow,ESTAT:ILC_MDDW02$DEFAULTVIEW(1.0),"Pollution, grime or other environmental problems",A,Annual,A1,One adult,TOTAL,Total,PC,Percentage,BG,Bulgaria,2013,,11.0,,,,,
dataflow,ESTAT:ILC_MDDW02$DEFAULTVIEW(1.0),"Pollution, grime or other environmental problems",A,Annual,A1,One adult,TOTAL,Total,PC,Percentage,BG,Bulgaria,2014,,12.4,,,,,
dataflow,ESTAT:ILC_MDDW02$DEFAULTVIEW(1.0),"Pollution, grime or other environmental problems",A,Annual,A1,One adult,TOTAL,Total,PC,Percentage,BG,Bulgaria,2015,,11.7,,,,,
dataflow,ESTAT:ILC_MDDW02$DEFAULTVIEW(1.0),"Pollution, grime or other environmental problems",A,Annual,A1,One adult,TOTAL,Total,PC,Percentage,BG,Bulgaria,2016,,11.3,,b,break in time series,,
dataflow,ESTAT:ILC_MDDW02$DEFAULTVIEW(1.0),"Pollution, grime or other environmental problems",A,Annual,A1,One adult,TOTAL,Total,PC,Percentage,BG,Bulgaria,2017,,11.2,,,,,
dataflow,ESTAT:ILC_MDDW02$DEFAULTVIEW(1.0),"Pollution, grime or other environmental problems",A,Annual,A1,One adult,TOTAL,Total,PC,Percentage,BG,Bulgaria,2018,,11.1,,,,,
dataflow,ESTAT:ILC_MDDW02$DEFAULTVIEW(1.0),"Pollution, grime or other environmental problems",A,Annual,A1,One adult,TOTAL,Total,PC,Percentage,BG,Bulgaria,2019,,10.6,,,,,
dataflow,ESTAT:ILC_MDDW02$DEFAULTVIEW(1.0),"Pollution, grime or other environmental problems",A,Annual,A1,One adult,TOTAL,Total,PC,Percentage,BG,Bulgaria,2020,,9.6,,,,,
dataflow,ESTAT:ILC_MDDW02$DEFAULTVIEW(1.0),"Pollution, grime or other environmental problems",A,Annual,A1,One adult,TOTAL,Total,PC,Percentage,BG,Bulgaria,2023,,7.8,,,,,
dataflow,ESTAT:ILC_MDDW02$DEFAULTVIEW(1.0),"Pollution, grime or other environmental problems",A,Annual,A1,One adult,TOTAL,Total,PC,Percentage,CH,Switzerland,2012,,12.2,,,,,
dataflow,ESTAT:ILC_MDDW02$DEFAULTVIEW(1.0),"Pollution, grime or other environmental problems",A,Annual,A1,One adult,TOTAL,Total,PC,Percentage,CH,Switzerland,2013,,11.2,,,,,
dataflow,ESTAT:ILC_MDDW02$DEFAULTVIEW(1.0),"Pollution, grime or other environmental problems",A,Annual,A1,One adult,TOTAL,Total,PC,Percentage,CH,Switzerland,2014,,10.9,,b,break in time series,,
dataflow,ESTAT:ILC_MDDW02$DEFAULTVIEW(1.0),"Pollution, grime or other environmental problems",A,Annual,A1,One adult,TOTAL,Total,PC,Percentage,CH,Switzerland,2015,,10.2,,,,,
dataflow,ESTAT:ILC_MDDW02$DEFAULTVIEW(1.0),"Pollution, grime or other environmental problems",A,Annual,A1,One adult,TOTAL,Total,PC,Percentage,CH,Switzerland,2016,,10.7,,,,,
dataflow,ESTAT:ILC_MDDW02$DEFAULTVIEW(1.0),"Pollution, grime or other environmental problems",A,Annual,A1,One adult,TOTAL,Total,PC,Percentage,CH,Switzerland,2017,,9.9,,,,,
dataflow,ESTAT:ILC_MDDW02$DEFAULTVIEW(1.0),"Pollution, grime or other environmental problems",A,Annual,A1,One adult,TOTAL,Total,PC,Percentage,CH,Switzerland,2018,,10.4,,,,,
dataflow,ESTAT:ILC_MDDW02$DEFAULTVIEW(1.0),"Pollution, grime or other environmental problems",A,Annual,A1,One adult,TOTAL,Total,PC,Percentage,CH,Switzerland,2019,,9.7,,,,,
dataflow,ESTAT:ILC_MDDW02$DEFAULTVIEW(1.0),"Pollution, grime or other environmental problems",A,Annual,A1,One adult,TOTAL,Total,PC,Percentage,CH,Switzerland,2020,,9.4,,,,,
dataflow,ESTAT:ILC_MDDW02$DEFAULTVIEW(1.0),"Pollution, grime or other environmental problems",A,Annual,A1,One adult,TOTAL,Total,PC,Percentage,CH,Switzerland,2023,,9.0,,,,,
dataflow,ESTAT:ILC_MDDW02$DEFAULTVIEW(1.0),"Pollution, grime or other environmental problems",A,Annual,A1,One adult,TOTAL,Total,PC,Percentage,CY,Cyprus,2012,,14.1,,,,,
dataflow,ESTAT:ILC_MDDW02$DEFAULTVIEW(1.0),"Pollution, grime or other environmental problems",A,Annual,A1,One adult,TOTAL,Total,PC,Percentage,CY,Cyprus,2013,,13.3,,,,,
dataflow,ESTAT:ILC_MDDW02$DEFAULTVIEW(1.0),"Pollution, grime or other environmental problems",A,Annual,A1,One adult,TOTAL,Total,PC,Percentage,CY,Cyprus,2014,,8.8,,,,,
dataflow,ESTAT:ILC_MDDW02$DEFAULTVIEW(1.0),"Pollution, grime or other environmental problems",A,Annual,A1,One adult,TOTAL,Total,PC,Percentage,CY,Cyprus,2015,,8.3,,,,,
dataflow,ESTAT:ILC_MDDW02$DEFAULTVIEW(1.0),"Pollution, grime or other environmental problems",A,Annual,A1,One adult,TOTAL,Total,PC,Percentage,CY,Cyprus,2016,,7.4,,,,,
dataflow,ESTAT:ILC_MDDW02$DEFAULTVIEW(1.0),"Pollution, grime or other environmental problems",A,Annual,A1,One adult,TOTAL,Total,PC,Percentage,CY,Cyprus,2017,,6.1,,,,,
dataflow,ESTAT:ILC_MDDW02$DEFAULTVIEW(1.0),"Pollution, grime or other environmental problems",A,Annual,A1,One adult,TOTAL,Total,PC,Percentage,CY,Cyprus,2018,,7.0,,,,,
dataflow,ESTAT:ILC_MDDW02$DEFAULTVIEW(1.0),"Pollution, grime or other environmental problems",A,Annual,A1,One adult,TOTAL,Total,PC,Percentage,CY,Cyprus,2019,,7.6,,,,,
dataflow,ESTAT:ILC_MDDW02$DEFAULTVIEW(1.0),"Pollution, grime or other environmental problems",A,Annual,A1,One adult,TOTAL,Total,PC,Percentage,CY,Cyprus,2020,,7.9,,,,,
dataflow,ESTAT:ILC_MDDW02$DEFAULTVIEW(1.0),"Pollution, grime or other environmental problems",A,Annual,A1,One adult,TOTAL,Total,PC,Percentage,CY,Cyprus,2023,,10.9,,,,,
dataflow,ESTAT:ILC_MDDW02$DEFAULTVIEW(1.0),"Pollution, grime or other environmental problems",A,Annual,A1,One adult,TOTAL,Total,PC,Percentage,CZ,Czechia,2012,,15.3,,,,,
dataflow,ESTAT:ILC_MDDW02$DEFAULTVIEW(1.0),"Pollution, grime or other environmental problems",A,Annual,A1,One adult,TOTAL,Total,PC,Percentage,CZ,Czechia,2013,,16.6,,,,,
dataflow,ESTAT:ILC_MDDW02$DEFAULTVIEW(1.0),"Pollution, grime or other environmental problems",A,Annual,A1,One adult,TOTAL,Total,PC,Percentage,CZ,Czechia,2014,,13.4,,,,,
dataflow,ESTAT:ILC_MDDW02$DEFAULTVIEW(1.0),"Pollution, grime or other environmental problems",A,Annual,A1,One adult,TOTAL,Total,PC,Percentage,CZ,Czechia,2015,,13.9,,,,,
dataflow,ESTAT:ILC_MDDW02$DEFAULTVIEW(1.0),"Pollution, grime or other environmental problems",A,Annual,A1,One adult,TOTAL,Total,PC,Percentage,CZ,Czechia,2016,,13.7,,,,,
dataflow,ESTAT:ILC_MDDW02$DEFAULTVIEW(1.0),"Pollution, grime or other environmental problems",A,Annual,A1,One adult,TOTAL,Total,PC,Percentage,CZ,Czechia,2017,,12.1,,,,,
dataflow,ESTAT:ILC_MDDW02$DEFAULTVIEW(1.0),"Pollution, grime or other environmental problems",A,Annual,A1,One adult,TOTAL,Total,PC,Percentage,CZ,Czechia,2018,,12.3,,,,,
dataflow,ESTAT:ILC_MDDW02$DEFAULTVIEW(1.0),"Pollution, grime or other environmental problems",A,Annual,A1,One adult,TOTAL,Total,PC,Percentage,CZ,Czechia,2019,,10.9,,,,,
dataflow,ESTAT:ILC_MDDW02$DEFAULTVIEW(1.0),"Pollution, grime or other environmental problems",A,Annual,A1,One adult,TOTAL,Total,PC,Percentage,CZ,Czechia,2020,,9.1,,,,,
dataflow,ESTAT:ILC_MDDW02$DEFAULTVIEW(1.0),"Pollution, grime or other environmental problems",A,Annual,A1,One adult,TOTAL,Total,PC,Percentage,CZ,Czechia,2023,,7.9,,,,,
dataflow,ESTAT:ILC_MDDW02$DEFAULTVIEW(1.0),"Pollution, grime or other environmental problems",A,Annual,A1,One adult,TOTAL,Total,PC,Percentage,DE,Germany,2012,,26.3,,,,,
dataflow,ESTAT:ILC_MDDW02$DEFAULTVIEW(1.0),"Pollution, grime or other environmental problems",A,Annual,A1,One adult,TOTAL,Total,PC,Percentage,DE,Germany,2013,,26.8,,,,,
dataflow,ESTAT:ILC_MDDW02$DEFAULTVIEW(1.0),"Pollution, grime or other environmental problems",A,Annual,A1,One adult,TOTAL,Total,PC,Percentage,DE,Germany,2014,,25.5,,,,,
dataflow,ESTAT:ILC_MDDW02$DEFAULTVIEW(1.0),"Pollution, grime or other environmental problems",A,Annual,A1,One adult,TOTAL,Total,PC,Percentage,DE,Germany,2015,,26.3,,,,,
dataflow,ESTAT:ILC_MDDW02$DEFAULTVIEW(1.0),"Pollution, grime or other environmental problems",A,Annual,A1,One adult,TOTAL,Total,PC,Percentage,DE,Germany,2016,,26.9,,,,,
dataflow,ESTAT:ILC_MDDW02$DEFAULTVIEW(1.0),"Pollution, grime or other environmental problems",A,Annual,A1,One adult,TOTAL,Total,PC,Percentage,DE,Germany,2017,,29.2,,,,,
dataflow,ESTAT:ILC_MDDW02$DEFAULTVIEW(1.0),"Pollution, grime or other environmental problems",A,Annual,A1,One adult,TOTAL,Total,PC,Percentage,DE,Germany,2018,,30.1,,,,,
dataflow,ESTAT:ILC_MDDW02$DEFAULTVIEW(1.0),"Pollution, grime or other environmental problems",A,Annual,A1,One adult,TOTAL,Total,PC,Percentage,DE,Germany,2019,,28.6,,,,,
dataflow,ESTAT:ILC_MDDW02$DEFAULTVIEW(1.0),"Pollution, grime or other environmental problems",A,Annual,A1,One adult,TOTAL,Total,PC,Percentage,DE,Germany,2020,,14.4,,bu,"break in time series, low reliability",,
dataflow,ESTAT:ILC_MDDW02$DEFAULTVIEW(1.0),"Pollution, grime or other environmental problems",A,Annual,A1,One adult,TOTAL,Total,PC,Percentage,DE,Germany,2023,,17.7,,u,low reliability,,
dataflow,ESTAT:ILC_MDDW02$DEFAULTVIEW(1.0),"Pollution, grime or other environmental problems",A,Annual,A1,One adult,TOTAL,Total,PC,Percentage,DK,Denmark,2012,,7.3,,,,,
dataflow,ESTAT:ILC_MDDW02$DEFAULTVIEW(1.0),"Pollution, grime or other environmental problems",A,Annual,A1,One adult,TOTAL,Total,PC,Percentage,DK,Denmark,2013,,6.0,,,,,
dataflow,ESTAT:ILC_MDDW02$DEFAULTVIEW(1.0),"Pollution, grime or other environmental problems",A,Annual,A1,One adult,TOTAL,Total,PC,Percentage,DK,Denmark,2014,,9.3,,,,,
dataflow,ESTAT:ILC_MDDW02$DEFAULTVIEW(1.0),"Pollution, grime or other environmental problems",A,Annual,A1,One adult,TOTAL,Total,PC,Percentage,DK,Denmark,2015,,7.9,,,,,
dataflow,ESTAT:ILC_MDDW02$DEFAULTVIEW(1.0),"Pollution, grime or other environmental problems",A,Annual,A1,One adult,TOTAL,Total,PC,Percentage,DK,Denmark,2016,,8.5,,,,,
dataflow,ESTAT:ILC_MDDW02$DEFAULTVIEW(1.0),"Pollution, grime or other environmental problems",A,Annual,A1,One adult,TOTAL,Total,PC,Percentage,DK,Denmark,2017,,10.4,,,,,
dataflow,ESTAT:ILC_MDDW02$DEFAULTVIEW(1.0),"Pollution, grime or other environmental problems",A,Annual,A1,One adult,TOTAL,Total,PC,Percentage,DK,Denmark,2018,,10.6,,,,,
dataflow,ESTAT:ILC_MDDW02$DEFAULTVIEW(1.0),"Pollution, grime or other environmental problems",A,Annual,A1,One adult,TOTAL,Total,PC,Percentage,DK,Denmark,2019,,9.2,,,,,
dataflow,ESTAT:ILC_MDDW02$DEFAULTVIEW(1.0),"Pollution, grime or other environmental problems",A,Annual,A1,One adult,TOTAL,Total,PC,Percentage,DK,Denmark,2020,,12.2,,,,,
dataflow,ESTAT:ILC_MDDW02$DEFAULTVIEW(1.0),"Pollution, grime or other environmental problems",A,Annual,A1,One adult,TOTAL,Total,PC,Percentage,DK,Denmark,2023,,9.5,,,,,
dataflow,ESTAT:ILC_MDDW02$DEFAULTVIEW(1.0),"Pollution, grime or other environmental problems",A,Annual,A1,One adult,TOTAL,Total,PC,Percentage,EA,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023, EA21-2026)",2012,,17.5,,e,estimated,,
dataflow,ESTAT:ILC_MDDW02$DEFAULTVIEW(1.0),"Pollution, grime or other environmental problems",A,Annual,A1,One adult,TOTAL,Total,PC,Percentage,EA,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023, EA21-2026)",2013,,17.8,,e,estimated,,
dataflow,ESTAT:ILC_MDDW02$DEFAULTVIEW(1.0),"Pollution, grime or other environmental problems",A,Annual,A1,One adult,TOTAL,Total,PC,Percentage,EA,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023, EA21-2026)",2014,,17.7,,e,estimated,,
dataflow,ESTAT:ILC_MDDW02$DEFAULTVIEW(1.0),"Pollution, grime or other environmental problems",A,Annual,A1,One adult,TOTAL,Total,PC,Percentage,EA,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023, EA21-2026)",2015,,17.9,,e,estimated,,
dataflow,ESTAT:ILC_MDDW02$DEFAULTVIEW(1.0),"Pollution, grime or other environmental problems",A,Annual,A1,One adult,TOTAL,Total,PC,Percentage,EA,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023, EA21-2026)",2016,,17.6,,e,estimated,,
dataflow,ESTAT:ILC_MDDW02$DEFAULTVIEW(1.0),"Pollution, grime or other environmental problems",A,Annual,A1,One adult,TOTAL,Total,PC,Percentage,EA,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023, EA21-2026)",2017,,17.8,,e,estimated,,
dataflow,ESTAT:ILC_MDDW02$DEFAULTVIEW(1.0),"Pollution, grime or other environmental problems",A,Annual,A1,One adult,TOTAL,Total,PC,Percentage,EA,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023, EA21-2026)",2018,,18.4,,e,estimated,,
dataflow,ESTAT:ILC_MDDW02$DEFAULTVIEW(1.0),"Pollution, grime or other environmental problems",A,Annual,A1,One adult,TOTAL,Total,PC,Percentage,EA,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023, EA21-2026)",2019,,17.9,,,,,
dataflow,ESTAT:ILC_MDDW02$DEFAULTVIEW(1.0),"Pollution, grime or other environmental problems",A,Annual,A1,One adult,TOTAL,Total,PC,Percentage,EA,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023, EA21-2026)",2020,,15.2,,,,,
dataflow,ESTAT:ILC_MDDW02$DEFAULTVIEW(1.0),"Pollution, grime or other environmental problems",A,Annual,A1,One adult,TOTAL,Total,PC,Percentage,EA18,Euro area - 18 countries (2014),2012,,17.5,,,,,
dataflow,ESTAT:ILC_MDDW02$DEFAULTVIEW(1.0),"Pollution, grime or other environmental problems",A,Annual,A1,One adult,TOTAL,Total,PC,Percentage,EA18,Euro area - 18 countries (2014),2013,,17.8,,,,,
dataflow,ESTAT:ILC_MDDW02$DEFAULTVIEW(1.0),"Pollution, grime or other environmental problems",A,Annual,A1,One adult,TOTAL,Total,PC,Percentage,EA18,Euro area - 18 countries (2014),2014,,17.7,,,,,
dataflow,ESTAT:ILC_MDDW02$DEFAULTVIEW(1.0),"Pollution, grime or other environmental problems",A,Annual,A1,One adult,TOTAL,Total,PC,Percentage,EA18,Euro area - 18 countries (2014),2015,,17.9,,,,,
dataflow,ESTAT:ILC_MDDW02$DEFAULTVIEW(1.0),"Pollution, grime or other environmental problems",A,Annual,A1,One adult,TOTAL,Total,PC,Percentage,EA18,Euro area - 18 countries (2014),2016,,17.7,,,,,
dataflow,ESTAT:ILC_MDDW02$DEFAULTVIEW(1.0),"Pollution, grime or other environmental problems",A,Annual,A1,One adult,TOTAL,Total,PC,Percentage,EA18,Euro area - 18 countries (2014),2017,,17.9,,,,,
dataflow,ESTAT:ILC_MDDW02$DEFAULTVIEW(1.0),"Pollution, grime or other environmental problems",A,Annual,A1,One adult,TOTAL,Total,PC,Percentage,EA18,Euro area - 18 countries (2014),2018,,18.5,,,,,
dataflow,ESTAT:ILC_MDDW02$DEFAULTVIEW(1.0),"Pollution, grime or other environmental problems",A,Annual,A1,One adult,TOTAL,Total,PC,Percentage,EA18,Euro area - 18 countries (2014),2019,,18.0,,,,,
dataflow,ESTAT:ILC_MDDW02$DEFAULTVIEW(1.0),"Pollution, grime or other environmental problems",A,Annual,A1,One adult,TOTAL,Total,PC,Percentage,EA18,Euro area - 18 countries (2014),2020,,15.2,,,,,
dataflow,ESTAT:ILC_MDDW02$DEFAULTVIEW(1.0),"Pollution, grime or other environmental problems",A,Annual,A1,One adult,TOTAL,Total,PC,Percentage,EA19,Euro area - 19 countries  (2015-2022),2012,,17.5,,,,,
dataflow,ESTAT:ILC_MDDW02$DEFAULTVIEW(1.0),"Pollution, grime or other environmental problems",A,Annual,A1,One adult,TOTAL,Total,PC,Percentage,EA19,Euro area - 19 countries  (2015-2022),2013,,17.8,,,,,
dataflow,ESTAT:ILC_MDDW02$DEFAULTVIEW(1.0),"Pollution, grime or other environmental problems",A,Annual,A1,One adult,TOTAL,Total,PC,Percentage,EA19,Euro area - 19 countries  (2015-2022),2014,,17.7,,,,,
dataflow,ESTAT:ILC_MDDW02$DEFAULTVIEW(1.0),"Pollution, grime or other environmental problems",A,Annual,A1,One adult,TOTAL,Total,PC,Percentage,EA19,Euro area - 19 countries  (2015-2022),2015,,17.9,,,,,
dataflow,ESTAT:ILC_MDDW02$DEFAULTVIEW(1.0),"Pollution, grime or other environmental problems",A,Annual,A1,One adult,TOTAL,Total,PC,Percentage,EA19,Euro area - 19 countries  (2015-2022),2016,,17.6,,,,,
dataflow,ESTAT:ILC_MDDW02$DEFAULTVIEW(1.0),"Pollution, grime or other environmental problems",A,Annual,A1,One adult,TOTAL,Total,PC,Percentage,EA19,Euro area - 19 countries  (2015-2022),2017,,17.8,,,,,
dataflow,ESTAT:ILC_MDDW02$DEFAULTVIEW(1.0),"Pollution, grime or other environmental problems",A,Annual,A1,One adult,TOTAL,Total,PC,Percentage,EA19,Euro area - 19 countries  (2015-2022),2018,,18.4,,,,,
dataflow,ESTAT:ILC_MDDW02$DEFAULTVIEW(1.0),"Pollution, grime or other environmental problems",A,Annual,A1,One adult,TOTAL,Total,PC,Percentage,EA19,Euro area - 19 countries  (2015-2022),2019,,17.9,,,,,
dataflow,ESTAT:ILC_MDDW02$DEFAULTVIEW(1.0),"Pollution, grime or other environmental problems",A,Annual,A1,One adult,TOTAL,Total,PC,Percentage,EA19,Euro area - 19 countries  (2015-2022),2020,,15.2,,,,,
dataflow,ESTAT:ILC_MDDW02$DEFAULTVIEW(1.0),"Pollution, grime or other environmental problems",A,Annual,A1,One adult,TOTAL,Total,PC,Percentage,EA20,Euro area – 20 countries (2023-2025),2023,,14.3,,,,,
dataflow,ESTAT:ILC_MDDW02$DEFAULTVIEW(1.0),"Pollution, grime or other environmental problems",A,Annual,A1,One adult,TOTAL,Total,PC,Percentage,EE,Estonia,2012,,9.9,,,,,
dataflow,ESTAT:ILC_MDDW02$DEFAULTVIEW(1.0),"Pollution, grime or other environmental problems",A,Annual,A1,One adult,TOTAL,Total,PC,Percentage,EE,Estonia,2013,,8.3,,,,,
dataflow,ESTAT:ILC_MDDW02$DEFAULTVIEW(1.0),"Pollution, grime or other environmental problems",A,Annual,A1,One adult,TOTAL,Total,PC,Percentage,EE,Estonia,2014,,10.2,,b,break in time series,,
dataflow,ESTAT:ILC_MDDW02$DEFAULTVIEW(1.0),"Pollution, grime or other environmental problems",A,Annual,A1,One adult,TOTAL,Total,PC,Percentage,EE,Estonia,2015,,8.0,,,,,
dataflow,ESTAT:ILC_MDDW02$DEFAULTVIEW(1.0),"Pollution, grime or other environmental problems",A,Annual,A1,One adult,TOTAL,Total,PC,Percentage,EE,Estonia,2016,,8.3,,,,,
dataflow,ESTAT:ILC_MDDW02$DEFAULTVIEW(1.0),"Pollution, grime or other environmental problems",A,Annual,A1,One adult,TOTAL,Total,PC,Percentage,EE,Estonia,2017,,8.8,,,,,
dataflow,ESTAT:ILC_MDDW02$DEFAULTVIEW(1.0),"Pollution, grime or other environmental problems",A,Annual,A1,One adult,TOTAL,Total,PC,Percentage,EE,Estonia,2018,,8.4,,,,,
dataflow,ESTAT:ILC_MDDW02$DEFAULTVIEW(1.0),"Pollution, grime or other environmental problems",A,Annual,A1,One adult,TOTAL,Total,PC,Percentage,EE,Estonia,2019,,9.3,,,,,
dataflow,ESTAT:ILC_MDDW02$DEFAULTVIEW(1.0),"Pollution, grime or other environmental problems",A,Annual,A1,One adult,TOTAL,Total,PC,Percentage,EE,Estonia,2020,,8.5,,,,,
dataflow,ESTAT:ILC_MDDW02$DEFAULTVIEW(1.0),"Pollution, grime or other environmental problems",A,Annual,A1,One adult,TOTAL,Total,PC,Percentage,EE,Estonia,2023,,8.1,,,,,
