STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,duration,Duration,isced11,International Standard Classification of Education (ISCED 2011),age,Age class,sex,Sex,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:TPS00053(1.0),Employment rates of recent graduates,A,Annual,Y1-3,From 1 to 3 years,ED3-8,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",Y20-34,From 20 to 34 years,T,Total,PC,Percentage,BE,Belgium,2019,,83.5,,,,,
dataflow,ESTAT:TPS00053(1.0),Employment rates of recent graduates,A,Annual,Y1-3,From 1 to 3 years,ED3-8,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",Y20-34,From 20 to 34 years,T,Total,PC,Percentage,BE,Belgium,2020,,82.9,,,,,
dataflow,ESTAT:TPS00053(1.0),Employment rates of recent graduates,A,Annual,Y1-3,From 1 to 3 years,ED3-8,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",Y20-34,From 20 to 34 years,T,Total,PC,Percentage,BE,Belgium,2021,,83.2,,b,break in time series,,
dataflow,ESTAT:TPS00053(1.0),Employment rates of recent graduates,A,Annual,Y1-3,From 1 to 3 years,ED3-8,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",Y20-34,From 20 to 34 years,T,Total,PC,Percentage,BE,Belgium,2022,,82.9,,,,,
dataflow,ESTAT:TPS00053(1.0),Employment rates of recent graduates,A,Annual,Y1-3,From 1 to 3 years,ED3-8,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",Y20-34,From 20 to 34 years,T,Total,PC,Percentage,BE,Belgium,2023,,86.4,,,,,
dataflow,ESTAT:TPS00053(1.0),Employment rates of recent graduates,A,Annual,Y1-3,From 1 to 3 years,ED3-8,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",Y20-34,From 20 to 34 years,T,Total,PC,Percentage,BE,Belgium,2024,,79.7,,b,break in time series,,
dataflow,ESTAT:TPS00053(1.0),Employment rates of recent graduates,A,Annual,Y1-3,From 1 to 3 years,ED3-8,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",Y20-34,From 20 to 34 years,T,Total,PC,Percentage,BE,Belgium,2025,,82.9,,,,,
dataflow,ESTAT:TPS00053(1.0),Employment rates of recent graduates,A,Annual,Y1-3,From 1 to 3 years,ED3-8,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",Y20-34,From 20 to 34 years,T,Total,PC,Percentage,BG,Bulgaria,2014,,65.4,,b,break in time series,,
dataflow,ESTAT:TPS00053(1.0),Employment rates of recent graduates,A,Annual,Y1-3,From 1 to 3 years,ED3-8,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",Y20-34,From 20 to 34 years,T,Total,PC,Percentage,BG,Bulgaria,2015,,74.6,,,,,
dataflow,ESTAT:TPS00053(1.0),Employment rates of recent graduates,A,Annual,Y1-3,From 1 to 3 years,ED3-8,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",Y20-34,From 20 to 34 years,T,Total,PC,Percentage,BG,Bulgaria,2016,,72.0,,,,,
dataflow,ESTAT:TPS00053(1.0),Employment rates of recent graduates,A,Annual,Y1-3,From 1 to 3 years,ED3-8,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",Y20-34,From 20 to 34 years,T,Total,PC,Percentage,BG,Bulgaria,2017,,77.7,,,,,
dataflow,ESTAT:TPS00053(1.0),Employment rates of recent graduates,A,Annual,Y1-3,From 1 to 3 years,ED3-8,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",Y20-34,From 20 to 34 years,T,Total,PC,Percentage,BG,Bulgaria,2018,,78.6,,,,,
dataflow,ESTAT:TPS00053(1.0),Employment rates of recent graduates,A,Annual,Y1-3,From 1 to 3 years,ED3-8,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",Y20-34,From 20 to 34 years,T,Total,PC,Percentage,BG,Bulgaria,2019,,80.8,,b,break in time series,,
dataflow,ESTAT:TPS00053(1.0),Employment rates of recent graduates,A,Annual,Y1-3,From 1 to 3 years,ED3-8,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",Y20-34,From 20 to 34 years,T,Total,PC,Percentage,BG,Bulgaria,2020,,78.8,,,,,
dataflow,ESTAT:TPS00053(1.0),Employment rates of recent graduates,A,Annual,Y1-3,From 1 to 3 years,ED3-8,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",Y20-34,From 20 to 34 years,T,Total,PC,Percentage,BG,Bulgaria,2021,,73.9,,b,break in time series,,
dataflow,ESTAT:TPS00053(1.0),Employment rates of recent graduates,A,Annual,Y1-3,From 1 to 3 years,ED3-8,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",Y20-34,From 20 to 34 years,T,Total,PC,Percentage,BG,Bulgaria,2022,,79.0,,,,,
dataflow,ESTAT:TPS00053(1.0),Employment rates of recent graduates,A,Annual,Y1-3,From 1 to 3 years,ED3-8,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",Y20-34,From 20 to 34 years,T,Total,PC,Percentage,BG,Bulgaria,2023,,84.2,,,,,
dataflow,ESTAT:TPS00053(1.0),Employment rates of recent graduates,A,Annual,Y1-3,From 1 to 3 years,ED3-8,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",Y20-34,From 20 to 34 years,T,Total,PC,Percentage,BG,Bulgaria,2024,,80.9,,b,break in time series,,
dataflow,ESTAT:TPS00053(1.0),Employment rates of recent graduates,A,Annual,Y1-3,From 1 to 3 years,ED3-8,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",Y20-34,From 20 to 34 years,T,Total,PC,Percentage,BG,Bulgaria,2025,,81.2,,,,,
dataflow,ESTAT:TPS00053(1.0),Employment rates of recent graduates,A,Annual,Y1-3,From 1 to 3 years,ED3-8,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",Y20-34,From 20 to 34 years,T,Total,PC,Percentage,CH,Switzerland,2014,,87.4,,b,break in time series,,
dataflow,ESTAT:TPS00053(1.0),Employment rates of recent graduates,A,Annual,Y1-3,From 1 to 3 years,ED3-8,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",Y20-34,From 20 to 34 years,T,Total,PC,Percentage,CH,Switzerland,2015,,84.6,,,,,
dataflow,ESTAT:TPS00053(1.0),Employment rates of recent graduates,A,Annual,Y1-3,From 1 to 3 years,ED3-8,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",Y20-34,From 20 to 34 years,T,Total,PC,Percentage,CH,Switzerland,2016,,86.8,,,,,
dataflow,ESTAT:TPS00053(1.0),Employment rates of recent graduates,A,Annual,Y1-3,From 1 to 3 years,ED3-8,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",Y20-34,From 20 to 34 years,T,Total,PC,Percentage,CH,Switzerland,2017,,86.2,,,,,
dataflow,ESTAT:TPS00053(1.0),Employment rates of recent graduates,A,Annual,Y1-3,From 1 to 3 years,ED3-8,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",Y20-34,From 20 to 34 years,T,Total,PC,Percentage,CH,Switzerland,2018,,88.3,,,,,
dataflow,ESTAT:TPS00053(1.0),Employment rates of recent graduates,A,Annual,Y1-3,From 1 to 3 years,ED3-8,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",Y20-34,From 20 to 34 years,T,Total,PC,Percentage,CH,Switzerland,2019,,87.9,,,,,
dataflow,ESTAT:TPS00053(1.0),Employment rates of recent graduates,A,Annual,Y1-3,From 1 to 3 years,ED3-8,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",Y20-34,From 20 to 34 years,T,Total,PC,Percentage,CH,Switzerland,2020,,88.9,,,,,
dataflow,ESTAT:TPS00053(1.0),Employment rates of recent graduates,A,Annual,Y1-3,From 1 to 3 years,ED3-8,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",Y20-34,From 20 to 34 years,T,Total,PC,Percentage,CH,Switzerland,2021,,87.9,,b,break in time series,,
dataflow,ESTAT:TPS00053(1.0),Employment rates of recent graduates,A,Annual,Y1-3,From 1 to 3 years,ED3-8,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",Y20-34,From 20 to 34 years,T,Total,PC,Percentage,CH,Switzerland,2022,,84.8,,,,,
dataflow,ESTAT:TPS00053(1.0),Employment rates of recent graduates,A,Annual,Y1-3,From 1 to 3 years,ED3-8,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",Y20-34,From 20 to 34 years,T,Total,PC,Percentage,CH,Switzerland,2023,,87.6,,,,,
dataflow,ESTAT:TPS00053(1.0),Employment rates of recent graduates,A,Annual,Y1-3,From 1 to 3 years,ED3-8,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",Y20-34,From 20 to 34 years,T,Total,PC,Percentage,CH,Switzerland,2024,,86.5,,,,,
dataflow,ESTAT:TPS00053(1.0),Employment rates of recent graduates,A,Annual,Y1-3,From 1 to 3 years,ED3-8,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",Y20-34,From 20 to 34 years,T,Total,PC,Percentage,CH,Switzerland,2025,,86.2,,,,,
dataflow,ESTAT:TPS00053(1.0),Employment rates of recent graduates,A,Annual,Y1-3,From 1 to 3 years,ED3-8,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",Y20-34,From 20 to 34 years,T,Total,PC,Percentage,CY,Cyprus,2014,,68.7,,b,break in time series,,
dataflow,ESTAT:TPS00053(1.0),Employment rates of recent graduates,A,Annual,Y1-3,From 1 to 3 years,ED3-8,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",Y20-34,From 20 to 34 years,T,Total,PC,Percentage,CY,Cyprus,2015,,68.9,,,,,
dataflow,ESTAT:TPS00053(1.0),Employment rates of recent graduates,A,Annual,Y1-3,From 1 to 3 years,ED3-8,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",Y20-34,From 20 to 34 years,T,Total,PC,Percentage,CY,Cyprus,2016,,73.4,,,,,
dataflow,ESTAT:TPS00053(1.0),Employment rates of recent graduates,A,Annual,Y1-3,From 1 to 3 years,ED3-8,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",Y20-34,From 20 to 34 years,T,Total,PC,Percentage,CY,Cyprus,2017,,71.6,,,,,
dataflow,ESTAT:TPS00053(1.0),Employment rates of recent graduates,A,Annual,Y1-3,From 1 to 3 years,ED3-8,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",Y20-34,From 20 to 34 years,T,Total,PC,Percentage,CY,Cyprus,2018,,78.9,,,,,
dataflow,ESTAT:TPS00053(1.0),Employment rates of recent graduates,A,Annual,Y1-3,From 1 to 3 years,ED3-8,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",Y20-34,From 20 to 34 years,T,Total,PC,Percentage,CY,Cyprus,2019,,80.8,,,,,
dataflow,ESTAT:TPS00053(1.0),Employment rates of recent graduates,A,Annual,Y1-3,From 1 to 3 years,ED3-8,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",Y20-34,From 20 to 34 years,T,Total,PC,Percentage,CY,Cyprus,2020,,78.4,,,,,
dataflow,ESTAT:TPS00053(1.0),Employment rates of recent graduates,A,Annual,Y1-3,From 1 to 3 years,ED3-8,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",Y20-34,From 20 to 34 years,T,Total,PC,Percentage,CY,Cyprus,2021,,80.9,,b,break in time series,,
dataflow,ESTAT:TPS00053(1.0),Employment rates of recent graduates,A,Annual,Y1-3,From 1 to 3 years,ED3-8,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",Y20-34,From 20 to 34 years,T,Total,PC,Percentage,CY,Cyprus,2022,,82.4,,,,,
dataflow,ESTAT:TPS00053(1.0),Employment rates of recent graduates,A,Annual,Y1-3,From 1 to 3 years,ED3-8,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",Y20-34,From 20 to 34 years,T,Total,PC,Percentage,CY,Cyprus,2023,,80.1,,,,,
dataflow,ESTAT:TPS00053(1.0),Employment rates of recent graduates,A,Annual,Y1-3,From 1 to 3 years,ED3-8,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",Y20-34,From 20 to 34 years,T,Total,PC,Percentage,CY,Cyprus,2024,,83.3,,,,,
dataflow,ESTAT:TPS00053(1.0),Employment rates of recent graduates,A,Annual,Y1-3,From 1 to 3 years,ED3-8,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",Y20-34,From 20 to 34 years,T,Total,PC,Percentage,CY,Cyprus,2025,,82.3,,,,,
dataflow,ESTAT:TPS00053(1.0),Employment rates of recent graduates,A,Annual,Y1-3,From 1 to 3 years,ED3-8,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",Y20-34,From 20 to 34 years,T,Total,PC,Percentage,CZ,Czechia,2014,,81.3,,b,break in time series,,
dataflow,ESTAT:TPS00053(1.0),Employment rates of recent graduates,A,Annual,Y1-3,From 1 to 3 years,ED3-8,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",Y20-34,From 20 to 34 years,T,Total,PC,Percentage,CZ,Czechia,2015,,82.2,,,,,
dataflow,ESTAT:TPS00053(1.0),Employment rates of recent graduates,A,Annual,Y1-3,From 1 to 3 years,ED3-8,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",Y20-34,From 20 to 34 years,T,Total,PC,Percentage,CZ,Czechia,2016,,86.7,,,,,
dataflow,ESTAT:TPS00053(1.0),Employment rates of recent graduates,A,Annual,Y1-3,From 1 to 3 years,ED3-8,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",Y20-34,From 20 to 34 years,T,Total,PC,Percentage,CZ,Czechia,2017,,89.9,,,,,
dataflow,ESTAT:TPS00053(1.0),Employment rates of recent graduates,A,Annual,Y1-3,From 1 to 3 years,ED3-8,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",Y20-34,From 20 to 34 years,T,Total,PC,Percentage,CZ,Czechia,2018,,89.6,,,,,
dataflow,ESTAT:TPS00053(1.0),Employment rates of recent graduates,A,Annual,Y1-3,From 1 to 3 years,ED3-8,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",Y20-34,From 20 to 34 years,T,Total,PC,Percentage,CZ,Czechia,2019,,87.3,,,,,
dataflow,ESTAT:TPS00053(1.0),Employment rates of recent graduates,A,Annual,Y1-3,From 1 to 3 years,ED3-8,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",Y20-34,From 20 to 34 years,T,Total,PC,Percentage,CZ,Czechia,2020,,87.3,,,,,
dataflow,ESTAT:TPS00053(1.0),Employment rates of recent graduates,A,Annual,Y1-3,From 1 to 3 years,ED3-8,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",Y20-34,From 20 to 34 years,T,Total,PC,Percentage,CZ,Czechia,2021,,84.2,,b,break in time series,,
dataflow,ESTAT:TPS00053(1.0),Employment rates of recent graduates,A,Annual,Y1-3,From 1 to 3 years,ED3-8,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",Y20-34,From 20 to 34 years,T,Total,PC,Percentage,CZ,Czechia,2022,,82.2,,,,,
dataflow,ESTAT:TPS00053(1.0),Employment rates of recent graduates,A,Annual,Y1-3,From 1 to 3 years,ED3-8,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",Y20-34,From 20 to 34 years,T,Total,PC,Percentage,CZ,Czechia,2023,,85.4,,,,,
dataflow,ESTAT:TPS00053(1.0),Employment rates of recent graduates,A,Annual,Y1-3,From 1 to 3 years,ED3-8,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",Y20-34,From 20 to 34 years,T,Total,PC,Percentage,CZ,Czechia,2024,,86.5,,,,,
dataflow,ESTAT:TPS00053(1.0),Employment rates of recent graduates,A,Annual,Y1-3,From 1 to 3 years,ED3-8,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",Y20-34,From 20 to 34 years,T,Total,PC,Percentage,CZ,Czechia,2025,,86.5,,,,,
dataflow,ESTAT:TPS00053(1.0),Employment rates of recent graduates,A,Annual,Y1-3,From 1 to 3 years,ED3-8,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",Y20-34,From 20 to 34 years,T,Total,PC,Percentage,DE,Germany,2014,,90.0,,b,break in time series,,
dataflow,ESTAT:TPS00053(1.0),Employment rates of recent graduates,A,Annual,Y1-3,From 1 to 3 years,ED3-8,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",Y20-34,From 20 to 34 years,T,Total,PC,Percentage,DE,Germany,2015,,90.4,,,,,
dataflow,ESTAT:TPS00053(1.0),Employment rates of recent graduates,A,Annual,Y1-3,From 1 to 3 years,ED3-8,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",Y20-34,From 20 to 34 years,T,Total,PC,Percentage,DE,Germany,2016,,90.1,,,,,
dataflow,ESTAT:TPS00053(1.0),Employment rates of recent graduates,A,Annual,Y1-3,From 1 to 3 years,ED3-8,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",Y20-34,From 20 to 34 years,T,Total,PC,Percentage,DE,Germany,2017,,90.9,,,,,
dataflow,ESTAT:TPS00053(1.0),Employment rates of recent graduates,A,Annual,Y1-3,From 1 to 3 years,ED3-8,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",Y20-34,From 20 to 34 years,T,Total,PC,Percentage,DE,Germany,2018,,92.1,,,,,
dataflow,ESTAT:TPS00053(1.0),Employment rates of recent graduates,A,Annual,Y1-3,From 1 to 3 years,ED3-8,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",Y20-34,From 20 to 34 years,T,Total,PC,Percentage,DE,Germany,2019,,92.7,,,,,
dataflow,ESTAT:TPS00053(1.0),Employment rates of recent graduates,A,Annual,Y1-3,From 1 to 3 years,ED3-8,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",Y20-34,From 20 to 34 years,T,Total,PC,Percentage,DE,Germany,2020,,89.6,,b,break in time series,,
dataflow,ESTAT:TPS00053(1.0),Employment rates of recent graduates,A,Annual,Y1-3,From 1 to 3 years,ED3-8,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",Y20-34,From 20 to 34 years,T,Total,PC,Percentage,DE,Germany,2021,,91.2,,b,break in time series,,
dataflow,ESTAT:TPS00053(1.0),Employment rates of recent graduates,A,Annual,Y1-3,From 1 to 3 years,ED3-8,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",Y20-34,From 20 to 34 years,T,Total,PC,Percentage,DE,Germany,2022,,92.2,,,,,
dataflow,ESTAT:TPS00053(1.0),Employment rates of recent graduates,A,Annual,Y1-3,From 1 to 3 years,ED3-8,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",Y20-34,From 20 to 34 years,T,Total,PC,Percentage,DE,Germany,2023,,91.6,,,,,
dataflow,ESTAT:TPS00053(1.0),Employment rates of recent graduates,A,Annual,Y1-3,From 1 to 3 years,ED3-8,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",Y20-34,From 20 to 34 years,T,Total,PC,Percentage,DE,Germany,2024,,90.4,,b,break in time series,,
dataflow,ESTAT:TPS00053(1.0),Employment rates of recent graduates,A,Annual,Y1-3,From 1 to 3 years,ED3-8,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",Y20-34,From 20 to 34 years,T,Total,PC,Percentage,DE,Germany,2025,,90.6,,,,,
dataflow,ESTAT:TPS00053(1.0),Employment rates of recent graduates,A,Annual,Y1-3,From 1 to 3 years,ED3-8,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",Y20-34,From 20 to 34 years,T,Total,PC,Percentage,DK,Denmark,2014,,82.5,,b,break in time series,,
dataflow,ESTAT:TPS00053(1.0),Employment rates of recent graduates,A,Annual,Y1-3,From 1 to 3 years,ED3-8,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",Y20-34,From 20 to 34 years,T,Total,PC,Percentage,DK,Denmark,2015,,80.8,,,,,
dataflow,ESTAT:TPS00053(1.0),Employment rates of recent graduates,A,Annual,Y1-3,From 1 to 3 years,ED3-8,"Upper secondary, post-secondary non-tertiary and tertiary education (levels 3-8)",Y20-34,From 20 to 34 years,T,Total,PC,Percentage,DK,Denmark,2016,,82.6,,b,break in time series,,
