STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,indic_em,Employment indicator,sex,Sex,age,Age class,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:TIPSLM100(1.0),Employment rate,A,Annual,EMP_LFS,Total employment (resident population concept - LFS),T,Total,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,BE,Belgium,2010,,67.6,,,,,
dataflow,ESTAT:TIPSLM100(1.0),Employment rate,A,Annual,EMP_LFS,Total employment (resident population concept - LFS),T,Total,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,BE,Belgium,2011,,67.3,,,,,
dataflow,ESTAT:TIPSLM100(1.0),Employment rate,A,Annual,EMP_LFS,Total employment (resident population concept - LFS),T,Total,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,BE,Belgium,2012,,67.2,,,,,
dataflow,ESTAT:TIPSLM100(1.0),Employment rate,A,Annual,EMP_LFS,Total employment (resident population concept - LFS),T,Total,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,BE,Belgium,2013,,67.2,,,,,
dataflow,ESTAT:TIPSLM100(1.0),Employment rate,A,Annual,EMP_LFS,Total employment (resident population concept - LFS),T,Total,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,BE,Belgium,2014,,67.3,,,,,
dataflow,ESTAT:TIPSLM100(1.0),Employment rate,A,Annual,EMP_LFS,Total employment (resident population concept - LFS),T,Total,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,BE,Belgium,2015,,67.2,,,,,
dataflow,ESTAT:TIPSLM100(1.0),Employment rate,A,Annual,EMP_LFS,Total employment (resident population concept - LFS),T,Total,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,BE,Belgium,2016,,67.7,,,,,
dataflow,ESTAT:TIPSLM100(1.0),Employment rate,A,Annual,EMP_LFS,Total employment (resident population concept - LFS),T,Total,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,BE,Belgium,2017,,68.5,,b,break in time series,,
dataflow,ESTAT:TIPSLM100(1.0),Employment rate,A,Annual,EMP_LFS,Total employment (resident population concept - LFS),T,Total,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,BE,Belgium,2018,,69.7,,,,,
dataflow,ESTAT:TIPSLM100(1.0),Employment rate,A,Annual,EMP_LFS,Total employment (resident population concept - LFS),T,Total,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,BE,Belgium,2019,,70.5,,,,,
dataflow,ESTAT:TIPSLM100(1.0),Employment rate,A,Annual,EMP_LFS,Total employment (resident population concept - LFS),T,Total,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,BE,Belgium,2020,,69.7,,,,,
dataflow,ESTAT:TIPSLM100(1.0),Employment rate,A,Annual,EMP_LFS,Total employment (resident population concept - LFS),T,Total,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,BE,Belgium,2021,,70.6,,,,,
dataflow,ESTAT:TIPSLM100(1.0),Employment rate,A,Annual,EMP_LFS,Total employment (resident population concept - LFS),T,Total,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,BE,Belgium,2022,,71.9,,,,,
dataflow,ESTAT:TIPSLM100(1.0),Employment rate,A,Annual,EMP_LFS,Total employment (resident population concept - LFS),T,Total,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,BE,Belgium,2023,,72.1,,,,,
dataflow,ESTAT:TIPSLM100(1.0),Employment rate,A,Annual,EMP_LFS,Total employment (resident population concept - LFS),T,Total,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,BE,Belgium,2024,,72.3,,,,,
dataflow,ESTAT:TIPSLM100(1.0),Employment rate,A,Annual,EMP_LFS,Total employment (resident population concept - LFS),T,Total,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,BE,Belgium,2025,,72.8,,,,,
dataflow,ESTAT:TIPSLM100(1.0),Employment rate,A,Annual,EMP_LFS,Total employment (resident population concept - LFS),T,Total,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,BG,Bulgaria,2009,,68.2,,,,,
dataflow,ESTAT:TIPSLM100(1.0),Employment rate,A,Annual,EMP_LFS,Total employment (resident population concept - LFS),T,Total,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,BG,Bulgaria,2010,,64.1,,b,break in time series,,
dataflow,ESTAT:TIPSLM100(1.0),Employment rate,A,Annual,EMP_LFS,Total employment (resident population concept - LFS),T,Total,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,BG,Bulgaria,2011,,62.3,,b,break in time series,,
dataflow,ESTAT:TIPSLM100(1.0),Employment rate,A,Annual,EMP_LFS,Total employment (resident population concept - LFS),T,Total,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,BG,Bulgaria,2012,,62.4,,,,,
dataflow,ESTAT:TIPSLM100(1.0),Employment rate,A,Annual,EMP_LFS,Total employment (resident population concept - LFS),T,Total,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,BG,Bulgaria,2013,,62.9,,,,,
dataflow,ESTAT:TIPSLM100(1.0),Employment rate,A,Annual,EMP_LFS,Total employment (resident population concept - LFS),T,Total,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,BG,Bulgaria,2014,,64.4,,,,,
dataflow,ESTAT:TIPSLM100(1.0),Employment rate,A,Annual,EMP_LFS,Total employment (resident population concept - LFS),T,Total,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,BG,Bulgaria,2015,,66.5,,,,,
dataflow,ESTAT:TIPSLM100(1.0),Employment rate,A,Annual,EMP_LFS,Total employment (resident population concept - LFS),T,Total,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,BG,Bulgaria,2016,,67.0,,,,,
dataflow,ESTAT:TIPSLM100(1.0),Employment rate,A,Annual,EMP_LFS,Total employment (resident population concept - LFS),T,Total,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,BG,Bulgaria,2017,,70.6,,,,,
dataflow,ESTAT:TIPSLM100(1.0),Employment rate,A,Annual,EMP_LFS,Total employment (resident population concept - LFS),T,Total,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,BG,Bulgaria,2018,,71.7,,,,,
dataflow,ESTAT:TIPSLM100(1.0),Employment rate,A,Annual,EMP_LFS,Total employment (resident population concept - LFS),T,Total,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,BG,Bulgaria,2019,,74.3,,b,break in time series,,
dataflow,ESTAT:TIPSLM100(1.0),Employment rate,A,Annual,EMP_LFS,Total employment (resident population concept - LFS),T,Total,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,BG,Bulgaria,2020,,72.7,,,,,
dataflow,ESTAT:TIPSLM100(1.0),Employment rate,A,Annual,EMP_LFS,Total employment (resident population concept - LFS),T,Total,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,BG,Bulgaria,2021,,73.3,,,,,
dataflow,ESTAT:TIPSLM100(1.0),Employment rate,A,Annual,EMP_LFS,Total employment (resident population concept - LFS),T,Total,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,BG,Bulgaria,2022,,75.9,,,,,
dataflow,ESTAT:TIPSLM100(1.0),Employment rate,A,Annual,EMP_LFS,Total employment (resident population concept - LFS),T,Total,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,BG,Bulgaria,2023,,76.2,,,,,
dataflow,ESTAT:TIPSLM100(1.0),Employment rate,A,Annual,EMP_LFS,Total employment (resident population concept - LFS),T,Total,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,BG,Bulgaria,2024,,76.8,,b,break in time series,,
dataflow,ESTAT:TIPSLM100(1.0),Employment rate,A,Annual,EMP_LFS,Total employment (resident population concept - LFS),T,Total,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,BG,Bulgaria,2025,,77.0,,,,,
dataflow,ESTAT:TIPSLM100(1.0),Employment rate,A,Annual,EMP_LFS,Total employment (resident population concept - LFS),T,Total,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,CY,Cyprus,2009,,75.3,,,,,
dataflow,ESTAT:TIPSLM100(1.0),Employment rate,A,Annual,EMP_LFS,Total employment (resident population concept - LFS),T,Total,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,CY,Cyprus,2010,,75.0,,,,,
dataflow,ESTAT:TIPSLM100(1.0),Employment rate,A,Annual,EMP_LFS,Total employment (resident population concept - LFS),T,Total,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,CY,Cyprus,2011,,73.4,,,,,
dataflow,ESTAT:TIPSLM100(1.0),Employment rate,A,Annual,EMP_LFS,Total employment (resident population concept - LFS),T,Total,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,CY,Cyprus,2012,,70.2,,,,,
dataflow,ESTAT:TIPSLM100(1.0),Employment rate,A,Annual,EMP_LFS,Total employment (resident population concept - LFS),T,Total,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,CY,Cyprus,2013,,67.2,,,,,
dataflow,ESTAT:TIPSLM100(1.0),Employment rate,A,Annual,EMP_LFS,Total employment (resident population concept - LFS),T,Total,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,CY,Cyprus,2014,,67.6,,,,,
dataflow,ESTAT:TIPSLM100(1.0),Employment rate,A,Annual,EMP_LFS,Total employment (resident population concept - LFS),T,Total,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,CY,Cyprus,2015,,67.9,,,,,
dataflow,ESTAT:TIPSLM100(1.0),Employment rate,A,Annual,EMP_LFS,Total employment (resident population concept - LFS),T,Total,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,CY,Cyprus,2016,,68.7,,,,,
dataflow,ESTAT:TIPSLM100(1.0),Employment rate,A,Annual,EMP_LFS,Total employment (resident population concept - LFS),T,Total,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,CY,Cyprus,2017,,70.8,,,,,
dataflow,ESTAT:TIPSLM100(1.0),Employment rate,A,Annual,EMP_LFS,Total employment (resident population concept - LFS),T,Total,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,CY,Cyprus,2018,,73.9,,,,,
dataflow,ESTAT:TIPSLM100(1.0),Employment rate,A,Annual,EMP_LFS,Total employment (resident population concept - LFS),T,Total,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,CY,Cyprus,2019,,75.8,,,,,
dataflow,ESTAT:TIPSLM100(1.0),Employment rate,A,Annual,EMP_LFS,Total employment (resident population concept - LFS),T,Total,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,CY,Cyprus,2020,,75.2,,,,,
dataflow,ESTAT:TIPSLM100(1.0),Employment rate,A,Annual,EMP_LFS,Total employment (resident population concept - LFS),T,Total,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,CY,Cyprus,2021,,76.3,,,,,
dataflow,ESTAT:TIPSLM100(1.0),Employment rate,A,Annual,EMP_LFS,Total employment (resident population concept - LFS),T,Total,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,CY,Cyprus,2022,,78.6,,,,,
dataflow,ESTAT:TIPSLM100(1.0),Employment rate,A,Annual,EMP_LFS,Total employment (resident population concept - LFS),T,Total,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,CY,Cyprus,2023,,79.8,,,,,
dataflow,ESTAT:TIPSLM100(1.0),Employment rate,A,Annual,EMP_LFS,Total employment (resident population concept - LFS),T,Total,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,CY,Cyprus,2024,,80.1,,,,,
dataflow,ESTAT:TIPSLM100(1.0),Employment rate,A,Annual,EMP_LFS,Total employment (resident population concept - LFS),T,Total,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,CY,Cyprus,2025,,81.3,,,,,
dataflow,ESTAT:TIPSLM100(1.0),Employment rate,A,Annual,EMP_LFS,Total employment (resident population concept - LFS),T,Total,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,CZ,Czechia,2009,,70.9,,,,,
dataflow,ESTAT:TIPSLM100(1.0),Employment rate,A,Annual,EMP_LFS,Total employment (resident population concept - LFS),T,Total,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,CZ,Czechia,2010,,70.4,,,,,
dataflow,ESTAT:TIPSLM100(1.0),Employment rate,A,Annual,EMP_LFS,Total employment (resident population concept - LFS),T,Total,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,CZ,Czechia,2011,,70.9,,b,break in time series,,
dataflow,ESTAT:TIPSLM100(1.0),Employment rate,A,Annual,EMP_LFS,Total employment (resident population concept - LFS),T,Total,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,CZ,Czechia,2012,,71.5,,,,,
dataflow,ESTAT:TIPSLM100(1.0),Employment rate,A,Annual,EMP_LFS,Total employment (resident population concept - LFS),T,Total,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,CZ,Czechia,2013,,72.5,,,,,
dataflow,ESTAT:TIPSLM100(1.0),Employment rate,A,Annual,EMP_LFS,Total employment (resident population concept - LFS),T,Total,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,CZ,Czechia,2014,,73.5,,,,,
dataflow,ESTAT:TIPSLM100(1.0),Employment rate,A,Annual,EMP_LFS,Total employment (resident population concept - LFS),T,Total,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,CZ,Czechia,2015,,74.8,,,,,
dataflow,ESTAT:TIPSLM100(1.0),Employment rate,A,Annual,EMP_LFS,Total employment (resident population concept - LFS),T,Total,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,CZ,Czechia,2016,,76.7,,,,,
dataflow,ESTAT:TIPSLM100(1.0),Employment rate,A,Annual,EMP_LFS,Total employment (resident population concept - LFS),T,Total,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,CZ,Czechia,2017,,78.5,,,,,
dataflow,ESTAT:TIPSLM100(1.0),Employment rate,A,Annual,EMP_LFS,Total employment (resident population concept - LFS),T,Total,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,CZ,Czechia,2018,,79.9,,,,,
dataflow,ESTAT:TIPSLM100(1.0),Employment rate,A,Annual,EMP_LFS,Total employment (resident population concept - LFS),T,Total,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,CZ,Czechia,2019,,80.3,,,,,
dataflow,ESTAT:TIPSLM100(1.0),Employment rate,A,Annual,EMP_LFS,Total employment (resident population concept - LFS),T,Total,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,CZ,Czechia,2020,,79.7,,,,,
dataflow,ESTAT:TIPSLM100(1.0),Employment rate,A,Annual,EMP_LFS,Total employment (resident population concept - LFS),T,Total,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,CZ,Czechia,2021,,80.0,,,,,
dataflow,ESTAT:TIPSLM100(1.0),Employment rate,A,Annual,EMP_LFS,Total employment (resident population concept - LFS),T,Total,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,CZ,Czechia,2022,,81.3,,,,,
dataflow,ESTAT:TIPSLM100(1.0),Employment rate,A,Annual,EMP_LFS,Total employment (resident population concept - LFS),T,Total,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,CZ,Czechia,2023,,81.7,,,,,
dataflow,ESTAT:TIPSLM100(1.0),Employment rate,A,Annual,EMP_LFS,Total employment (resident population concept - LFS),T,Total,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,CZ,Czechia,2024,,82.3,,,,,
dataflow,ESTAT:TIPSLM100(1.0),Employment rate,A,Annual,EMP_LFS,Total employment (resident population concept - LFS),T,Total,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,CZ,Czechia,2025,,82.9,,,,,
dataflow,ESTAT:TIPSLM100(1.0),Employment rate,A,Annual,EMP_LFS,Total employment (resident population concept - LFS),T,Total,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,DE,Germany,2009,,73.2,,,,,
dataflow,ESTAT:TIPSLM100(1.0),Employment rate,A,Annual,EMP_LFS,Total employment (resident population concept - LFS),T,Total,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,DE,Germany,2010,,74.0,,b,break in time series,,
dataflow,ESTAT:TIPSLM100(1.0),Employment rate,A,Annual,EMP_LFS,Total employment (resident population concept - LFS),T,Total,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,DE,Germany,2011,,75.4,,b,break in time series,,
dataflow,ESTAT:TIPSLM100(1.0),Employment rate,A,Annual,EMP_LFS,Total employment (resident population concept - LFS),T,Total,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,DE,Germany,2012,,75.8,,,,,
dataflow,ESTAT:TIPSLM100(1.0),Employment rate,A,Annual,EMP_LFS,Total employment (resident population concept - LFS),T,Total,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,DE,Germany,2013,,76.3,,,,,
dataflow,ESTAT:TIPSLM100(1.0),Employment rate,A,Annual,EMP_LFS,Total employment (resident population concept - LFS),T,Total,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,DE,Germany,2014,,76.7,,,,,
dataflow,ESTAT:TIPSLM100(1.0),Employment rate,A,Annual,EMP_LFS,Total employment (resident population concept - LFS),T,Total,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,DE,Germany,2015,,77.0,,,,,
dataflow,ESTAT:TIPSLM100(1.0),Employment rate,A,Annual,EMP_LFS,Total employment (resident population concept - LFS),T,Total,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,DE,Germany,2016,,77.6,,,,,
dataflow,ESTAT:TIPSLM100(1.0),Employment rate,A,Annual,EMP_LFS,Total employment (resident population concept - LFS),T,Total,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,DE,Germany,2017,,78.3,,,,,
dataflow,ESTAT:TIPSLM100(1.0),Employment rate,A,Annual,EMP_LFS,Total employment (resident population concept - LFS),T,Total,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,DE,Germany,2018,,79.0,,,,,
dataflow,ESTAT:TIPSLM100(1.0),Employment rate,A,Annual,EMP_LFS,Total employment (resident population concept - LFS),T,Total,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,DE,Germany,2019,,79.7,,,,,
dataflow,ESTAT:TIPSLM100(1.0),Employment rate,A,Annual,EMP_LFS,Total employment (resident population concept - LFS),T,Total,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,DE,Germany,2020,,78.3,,b,break in time series,,
dataflow,ESTAT:TIPSLM100(1.0),Employment rate,A,Annual,EMP_LFS,Total employment (resident population concept - LFS),T,Total,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,DE,Germany,2021,,79.6,,,,,
dataflow,ESTAT:TIPSLM100(1.0),Employment rate,A,Annual,EMP_LFS,Total employment (resident population concept - LFS),T,Total,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,DE,Germany,2022,,80.8,,,,,
dataflow,ESTAT:TIPSLM100(1.0),Employment rate,A,Annual,EMP_LFS,Total employment (resident population concept - LFS),T,Total,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,DE,Germany,2023,,81.1,,,,,
dataflow,ESTAT:TIPSLM100(1.0),Employment rate,A,Annual,EMP_LFS,Total employment (resident population concept - LFS),T,Total,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,DE,Germany,2024,,81.1,,,,,
dataflow,ESTAT:TIPSLM100(1.0),Employment rate,A,Annual,EMP_LFS,Total employment (resident population concept - LFS),T,Total,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,DE,Germany,2025,,81.1,,,,,
dataflow,ESTAT:TIPSLM100(1.0),Employment rate,A,Annual,EMP_LFS,Total employment (resident population concept - LFS),T,Total,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,DK,Denmark,2009,,76.1,,,,,
dataflow,ESTAT:TIPSLM100(1.0),Employment rate,A,Annual,EMP_LFS,Total employment (resident population concept - LFS),T,Total,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,DK,Denmark,2010,,74.9,,,,,
dataflow,ESTAT:TIPSLM100(1.0),Employment rate,A,Annual,EMP_LFS,Total employment (resident population concept - LFS),T,Total,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,DK,Denmark,2011,,74.8,,,,,
dataflow,ESTAT:TIPSLM100(1.0),Employment rate,A,Annual,EMP_LFS,Total employment (resident population concept - LFS),T,Total,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,DK,Denmark,2012,,74.3,,,,,
dataflow,ESTAT:TIPSLM100(1.0),Employment rate,A,Annual,EMP_LFS,Total employment (resident population concept - LFS),T,Total,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,DK,Denmark,2013,,74.3,,,,,
dataflow,ESTAT:TIPSLM100(1.0),Employment rate,A,Annual,EMP_LFS,Total employment (resident population concept - LFS),T,Total,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,DK,Denmark,2014,,74.7,,,,,
dataflow,ESTAT:TIPSLM100(1.0),Employment rate,A,Annual,EMP_LFS,Total employment (resident population concept - LFS),T,Total,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,DK,Denmark,2015,,75.4,,,,,
dataflow,ESTAT:TIPSLM100(1.0),Employment rate,A,Annual,EMP_LFS,Total employment (resident population concept - LFS),T,Total,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,DK,Denmark,2016,,76.0,,b,break in time series,,
dataflow,ESTAT:TIPSLM100(1.0),Employment rate,A,Annual,EMP_LFS,Total employment (resident population concept - LFS),T,Total,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,DK,Denmark,2017,,76.6,,b,break in time series,,
dataflow,ESTAT:TIPSLM100(1.0),Employment rate,A,Annual,EMP_LFS,Total employment (resident population concept - LFS),T,Total,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,DK,Denmark,2018,,77.5,,,,,
dataflow,ESTAT:TIPSLM100(1.0),Employment rate,A,Annual,EMP_LFS,Total employment (resident population concept - LFS),T,Total,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,DK,Denmark,2019,,78.3,,,,,
dataflow,ESTAT:TIPSLM100(1.0),Employment rate,A,Annual,EMP_LFS,Total employment (resident population concept - LFS),T,Total,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,DK,Denmark,2020,,77.8,,,,,
dataflow,ESTAT:TIPSLM100(1.0),Employment rate,A,Annual,EMP_LFS,Total employment (resident population concept - LFS),T,Total,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,DK,Denmark,2021,,79.0,,,,,
dataflow,ESTAT:TIPSLM100(1.0),Employment rate,A,Annual,EMP_LFS,Total employment (resident population concept - LFS),T,Total,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,DK,Denmark,2022,,80.1,,,,,
dataflow,ESTAT:TIPSLM100(1.0),Employment rate,A,Annual,EMP_LFS,Total employment (resident population concept - LFS),T,Total,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,DK,Denmark,2023,,79.8,,b,break in time series,,
dataflow,ESTAT:TIPSLM100(1.0),Employment rate,A,Annual,EMP_LFS,Total employment (resident population concept - LFS),T,Total,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,DK,Denmark,2024,,80.2,,,,,
dataflow,ESTAT:TIPSLM100(1.0),Employment rate,A,Annual,EMP_LFS,Total employment (resident population concept - LFS),T,Total,Y20-64,From 20 to 64 years,PC_POP,Percentage of total population,DK,Denmark,2025,,79.8,,,,,
